Site,Date,ID,Wind.speed,Direction,Temp,Sunshine,Time,Species,Common.name,Caste,Number,Forage plant,ITD,Hive.Distance,Hive.Density,Buildings,Bee.habitat,FloralUnits.Site,Rail,Total.Water,Building.Vol,ITD.error,Pollen,Pollen sample
Leon,05/06/2021,20210605_LeonMRR_Buff_008,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.393732236,770,1,39.03,9.84,2450,1.33,0,9,1.865555326,N,N
BG,11/05/2021,20210511_BG_Buff_004,6,SE,22,S,13:40:00,Bombus terrestris,Buff tail,W,1,Alkanet,5.400659505,300,1,21.53,17.83,6024,2.79,6.61,4,2.927677311,Y,Y
Leon,05/06/2021,20210605_LeonMRR_Buff_027,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.400659505,770,1,39.03,9.84,2450,1.33,0,9,2.927677311,N,N
Leon,22/06/2021,20210622_Leon_Buff_013,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.4115006,770,1,39.03,9.84,2450,1.33,0,9,5.371686313,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_020,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.42342772,345,7,49.59,4.39,8707,0.43,11.93,19,0,N,N
OPMead,05/07/2021,20210705_OP_Buff_013,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,5.43714512,530,1,24.47,18.18,2494,6.03,6.64,7,2.276823246,Y,N
MEA,09/06/2021,20210609_MEAMRR_Buff_009,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,5.441811306,850,1,26.97,19.29,2038,1.31,2.17,5,1.849072916,N,N
Bank,23/06/2021,20210623_OPBank_Buff_012,6,E,33,S,10:04:00,Bombus terrestris,Buff tail,W,1,Malva sylvestris,5.441987928,535,2,31.19,19.93,2008,3.35,6.61,10,3.320351173,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_003,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.46341573,770,1,39.03,9.84,2450,1.33,0,9,5.145386509,N,N
MEA,26/05/2021,20210526_MEA_Buff_001,3,NE,18,C,15:15:00,Bombus terrestris,Buff tail,W,1,Symphytum officinale,5.478462694,850,1,26.97,19.29,2038,1.31,2.17,5,1.836702458,Y,N
Leon,05/06/2021,20210605_LeonMRR_Buff_025,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.489458103,770,1,39.03,9.84,2450,1.33,0,9,2.95566164,Y,N
BG,30/06/2021,20210630_BG_Buff_011,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Lavender,5.490835634,300,1,21.53,17.83,6024,2.79,6.61,4,1.710877495,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_020,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,5.50670751,850,1,26.97,19.29,2038,1.31,2.17,5,1.705946266,Y,N
BG,30/06/2021,20210630_BG_Buff_002,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Lavender,5.514359879,300,1,21.53,17.83,6024,2.79,6.61,4,1.824745958,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_022,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.515713275,770,1,39.03,9.84,2450,1.33,0,9,4.071189065,N,N
Bunhill,29/05/2021,20210529_Bun_Buff_002,4,SW,21,S,11:45:00,Bombus terrestris,Buff tail,W,1,Geranium,5.527344498,535,2,45.37,8.43,1754,0.26,0.52,15,6.081667724,Y,Y
Leon,05/06/2021,20210605_LeonMRR_Buff_028,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.535483387,770,1,39.03,9.84,2450,1.33,0,9,1.817782693,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_012,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.536776465,770,1,39.03,9.84,2450,1.33,0,9,1.149398223,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_016,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.538873605,770,1,39.03,9.84,2450,1.33,0,9,2.880198624,Y,N
Leon,22/06/2021,20210622_Leon_Buff_002,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.540359497,770,1,39.03,9.84,2450,1.33,0,9,1.086715996,Y,N
Leon,22/06/2021,20210622_Leon_Buff_017,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.554177497,770,1,39.03,9.84,2450,1.33,0,9,2.448872136,Y,N
Beech,31/05/2021,20210531_Beech_Buff_001,4,SW,25,S,15:40:00,Bombus terrestris,Buff tail,W,1,Thyme,5.560348767,320,5,55.29,8.4,2280,0.26,0.52,19,4.038507747,N,N
MEA,30/06/2021,20210630_MEA_Buff_009,3,NW,18,C,13:01:00,Bombus terrestris,Buff tail,W,1,Stachys byzantina,5.567691154,850,1,26.97,19.29,2038,1.31,2.17,5,2.470829669,N,N
Bank,23/06/2021,20210623_OPBank_Buff_009,6,E,33,S,10:04:00,Bombus terrestris,Buff tail,W,1,Eschscholzia californica,5.582679426,535,2,31.19,19.93,2008,3.35,6.61,10,1.139947424,Y,Y
Beech,31/05/2021,20210531_Beech_Buff_002,4,SW,25,S,15:40:00,Bombus terrestris,Buff tail,W,1,Thyme,5.5927142,320,5,55.29,8.4,2280,0.26,0.52,19,2.275804128,N,N
BG,23/06/2021,20210623_BG_Buff_010,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,5.598343949,300,1,21.53,17.83,6024,2.79,6.61,4,3.22761716,N,N
BG,11/05/2021,20210511_BG_Buff_003,6,SE,22,S,13:40:00,Bombus terrestris,Buff tail,W,1,Alkanet,5.600969273,300,1,21.53,17.83,6024,2.79,6.61,4,2.822973584,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_017,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.603853659,770,1,39.03,9.84,2450,1.33,0,9,2.846800988,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_009,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.608982679,770,1,39.03,9.84,2450,1.33,0,9,5.730844284,N,N
BG,30/06/2021,20210630_BG_Buff_001,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Lavender,5.610445059,300,1,21.53,17.83,6024,2.79,6.61,4,4.002447459,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_010,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.613202289,770,1,39.03,9.84,2450,1.33,0,9,3.338854338,N,N
OPMead,29/06/2021,20210629_OP_Buff_007,4,N,26,C,10:54:00,Bombus terrestris,Buff tail,W,1,Geranium,5.617451177,530,1,24.47,18.18,2494,6.03,6.64,7,3.302917058,N,N
BG,23/06/2021,20210623_BG_Buff_008,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,5.620431396,300,1,21.53,17.83,6024,2.79,6.61,4,2.886785657,Y,Y
Leon,05/06/2021,20210605_LeonMRR_Buff_020,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.635638271,770,1,39.03,9.84,2450,1.33,0,9,3.325562059,N,N
Christ,31/05/2021,20210531_Christ_Buff_006,5,SW,22,S,14:55:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.642359952,345,7,49.59,4.39,8707,0.43,11.93,19,6.342040382,N,N
Leon,27/05/2021,20210527_Leon_Buff_004,4,NE,22,S,10:50:00,Bombus terrestris,Buff tail,W,1,Symphytum officinale,5.65193988,770,1,39.03,9.84,2450,1.33,0,9,5.790924248,N,N
Christ,31/05/2021,20210531_Christ_Buff_002,5,SW,22,S,14:55:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.652547436,345,7,49.59,4.39,8707,0.43,11.93,19,5.45420987,N,N
Leon,22/06/2021,20210622_Leon_Buff_016,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,W,1,Symphytum ,5.653590764,770,1,39.03,9.84,2450,1.33,0,9,2.79669841,Y,N
OPMead,05/07/2021,20210705_OP_Buff_008,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,5.655115407,530,1,24.47,18.18,2494,6.03,6.64,7,3.854957465,N,N
Leon,22/06/2021,20210622_Leon_Buff_009,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.657187437,770,1,39.03,9.84,2450,1.33,0,9,4.517061696,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_019,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.695648221,345,7,49.59,4.39,8707,0.43,11.93,19,4.802641889,N,N
Christ,28/05/2021,20210528_Christ_Buff_005,3,NE,21,C,14:33:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.699751871,345,7,49.59,4.39,8707,0.43,11.93,19,1.765393674,N,N
BG,23/06/2021,20210623_BG_Buff_009,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,5.709625925,300,1,21.53,17.83,6024,2.79,6.61,4,2.16816628,N,N
Leon,22/06/2021,20210622_Leon_Buff_025,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.719082752,770,1,39.03,9.84,2450,1.33,0,9,2.764672061,N,N
Bank,29/06/2021,20210629_Bank_Buff_002,4,N,23,C,13:05:00,Bombus terrestris,Buff tail,W,1,Achillea millefolium,5.726769691,535,2,31.19,19.93,2008,3.35,6.61,10,1.719792891,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_007,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,5.735210991,850,1,26.97,19.29,2038,1.31,2.17,5,2.829012004,N,N
BG,30/06/2021,20210630_BG_Buff_012,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Sage,5.756748172,300,1,21.53,17.83,6024,2.79,6.61,4,2.15041861,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_018,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,5.757695506,850,1,26.97,19.29,2038,1.31,2.17,5,1.105296559,N,N
Leon,22/06/2021,20210622_Leon_Buff_006,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.766302521,770,1,39.03,9.84,2450,1.33,0,9,7.211597323,N,N
BG,26/05/2021,20210526_BG_Buff_005,2,NE,17,C,11:40:00,Bombus terrestris,Buff tail,W,1,Lamium purpureum,5.814098361,300,1,21.53,17.83,6024,2.79,6.61,4,1.65420181,Y,Y
BG,30/06/2021,20210630_BG_Buff_009,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Lavender,5.815941665,300,1,21.53,17.83,6024,2.79,6.61,4,1.094227108,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_010,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.817125749,345,7,49.59,4.39,8707,0.43,11.93,19,4.437211797,N,N
Leon,27/05/2021,20210527_Leon_Buff_003,4,NE,22,S,10:50:00,Bombus terrestris,Buff tail,W,1,Symphytum officinale,5.817490134,770,1,39.03,9.84,2450,1.33,0,9,3.106032083,Y,Y
OPMead,05/07/2021,20210705_OP_Buff_022,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,5.819384494,530,1,24.47,18.18,2494,6.03,6.64,7,3.746140056,Y,N
Christ,31/05/2021,20210531_Christ_Buff_003,5,SW,22,S,14:55:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.838610721,345,7,49.59,4.39,8707,0.43,11.93,19,3.332141393,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_014,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.848482278,345,7,49.59,4.39,8707,0.43,11.93,19,9.77008663,N,N
OPMead,29/06/2021,20210629_OP_Buff_009,4,N,26,C,10:54:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,5.86847482,530,1,24.47,18.18,2494,6.03,6.64,7,2.109477979,N,N
Leon,27/05/2021,20210527_Leon_Buff_001,4,NE,22,S,10:50:00,Bombus terrestris,Buff tail,W,1,Symphytum officinale,5.86956836,770,1,39.03,9.84,2450,1.33,0,9,4.049655305,Y,Y
OPMead,05/07/2021,20210705_OP_Buff_003,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,5.88858335,530,1,24.47,18.18,2494,6.03,6.64,7,2.161457401,N,N
MEA,30/06/2021,20210630_MEA_Buff_005,3,NW,18,C,13:01:00,Bombus terrestris,Buff tail,W,1,Lavender,5.901003764,850,1,26.97,19.29,2038,1.31,2.17,5,2.74952896,N,N
Leon,22/06/2021,20210622_Leon_Buff_023,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.902478185,770,1,39.03,9.84,2450,1.33,0,9,7.072158782,N,N
OPMead,26/05/2021,20210526_OP_Buff_001,4,NE,16,C,10:30:00,Bombus terrestris,Buff tail,W,1,Iris germanica,5.92663011,530,1,24.47,18.18,2494,6.03,6.64,7,2.667854752,Y,Y
BG,23/06/2021,20210623_BG_Buff_014,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,5.957588259,300,1,21.53,17.83,6024,2.79,6.61,4,1.653161879,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_007,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.976768976,345,7,49.59,4.39,8707,0.43,11.93,19,7.564853713,N,N
Christ,31/05/2021,20210531_Christ_Buff_009,5,SW,22,S,14:55:00,Bombus terrestris,Buff tail,W,1,Nepeta,5.999233074,345,7,49.59,4.39,8707,0.43,11.93,19,2.635568265,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_015,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.043803828,345,7,49.59,4.39,8707,0.43,11.93,19,2.639572128,N,N
Bank,29/06/2021,20210629_Bank_Buff_007,4,N,23,C,13:05:00,Bombus terrestris,Buff tail,W,1,Echium vulgare,6.067713638,535,2,31.19,19.93,2008,3.35,6.61,10,1.65833566,Y,N
OPMead,29/06/2021,20210629_OP_Buff_002,4,N,26,C,10:54:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,6.082870765,530,1,24.47,18.18,2494,6.03,6.64,7,1.185476863,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_010,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,6.097665249,850,1,26.97,19.29,2038,1.31,2.17,5,6.234050913,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_012,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.101788458,345,7,49.59,4.39,8707,0.43,11.93,19,3.680152422,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_008,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.127014638,345,7,49.59,4.39,8707,0.43,11.93,19,4.464516628,N,N
BG,30/06/2021,20210630_BG_Buff_003,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Lavender,6.171869511,300,1,21.53,17.83,6024,2.79,6.61,4,1.630349748,N,N
OPMead,05/07/2021,20210705_OP_Buff_006,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,6.189185476,530,1,24.47,18.18,2494,6.03,6.64,7,6.414739907,N,N
BG,23/06/2021,20210623_BG_Buff_011,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,6.226002401,300,1,21.53,17.83,6024,2.79,6.61,4,2.562327334,N,N
BG,30/06/2021,20210630_BG_Buff_008,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Lavender,6.288971587,300,1,21.53,17.83,6024,2.79,6.61,4,2.923335884,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_002,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,6.311171895,770,1,39.03,9.84,2450,1.33,0,9,5.591370441,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_013,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,6.317461904,770,1,39.03,9.84,2450,1.33,0,9,3.079571631,N,N
Christ,28/05/2021,20210528_Christ_Buff_003,3,NE,21,C,14:33:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.384441144,345,7,49.59,4.39,8707,0.43,11.93,19,2.476550092,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_005,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.488628921,345,7,49.59,4.39,8707,0.43,11.93,19,6.781531407,N,N
BG,23/06/2021,20210623_BG_Buff_012,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,6.517826866,300,1,21.53,17.83,6024,2.79,6.61,4,1.511064655,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_012,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,6.527596838,850,1,26.97,19.29,2038,1.31,2.17,5,5.818413571,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_017,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.60987747,345,7,49.59,4.39,8707,0.43,11.93,19,4.739106036,N,N
Bunhill,08/06/2021,20210608_Bunhill_Buff_004,3,SW,22,S,10:20:00,Bombus terrestris,Buff tail,W,1,Geranium,6.636382137,535,2,45.37,8.43,1754,0.26,0.52,15,7.627822025,N,N
Christ,28/05/2021,20210528_Christ_Buff_004,3,NE,21,C,14:33:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.637291302,345,7,49.59,4.39,8707,0.43,11.93,19,4.863433487,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_001,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,6.787121706,770,1,39.03,9.84,2450,1.33,0,9,2.329616144,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_007,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,6.817917822,770,1,39.03,9.84,2450,1.33,0,9,2.319093411,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_031,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.917782617,770,1,39.03,9.84,2450,1.33,0,9,2.612009079,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_026,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,7.006271059,770,1,39.03,9.84,2450,1.33,0,9,4.587919316,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_033,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Centranthus ruber,7.157873348,770,1,39.03,9.84,2450,1.33,0,9,6.179141888,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_021,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Phlomis russeliana,7.164926305,770,1,39.03,9.84,2450,1.33,0,9,1.342329512,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_023,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,7.352557328,770,1,39.03,9.84,2450,1.33,0,9,1.368545045,N,N
Christ,31/05/2021,20210531_Christ_Vestal_010,5,SW,22,S,14:55:00,Bombus vestalis,Vestal cuckoo,F,1,Nepeta,4.094329626,345,7,49.59,4.39,8707,0.43,11.93,19,9.987753112,NA,N
Leon,22/06/2021,20210622_Leon_Buff_008,2,E,19,C,14:57:00,Bombus vestalis,Vestal cuckoo,F,1,Nepeta,5.804521948,770,1,39.03,9.84,2450,1.33,0,9,2.723977692,N,N
